Timestamp,Event Name,Department,Event Type,Rating,Would Recommend,Comment,Duration (hours),Attendance
2025-07-04 13:00:00,Alumni Talk Series,Mechanical,expo,4,Yes,Great organization and helpful volunteers.,2.6,20
2025-02-04 15:00:00,Workshop: Python for Data,MBA,workshop,5,Yes,Loved the speaker and the Q&A session.,2.9,153
2025-03-18 12:00:00,Tech Fest 2025,ECE,expo,4,Yes,Loved the speaker and the Q&A session.,1.8,20
2025-06-10 16:00:00,Workshop: Python for Data,Biotech,workshop,4,Yes,Great organization and helpful volunteers.,1.2,111
2025-04-12 18:00:00,Cultural Night,CSE,expo,2,Yes,Session started late; needs better time management. Decent networking opportunities.,1.9,111
2025-06-01 16:00:00,Robotics Expo,Mechanical,seminar,3,No,It was okay; nothing special.,1.7,226
2025-03-23 18:00:00,Workshop: Python for Data,Civil,talk,4,Yes,"Great organization and helpful volunteers. Good in parts, but could be improved.",0.5,77
2025-04-30 19:00:00,Tech Fest 2025,Civil,fair,4,Yes,Well structured; learned a lot.,1.4,150
2025-05-26 16:00:00,Alumni Talk Series,IT,fair,4,Yes,Loved the speaker and the Q&A session.,2.9,211
2025-03-19 09:00:00,Seminar: AI Ethics,Civil,seminar,2,No,Sound system issues throughout.,3.7,158
2025-05-17 16:00:00,Career Fair,EEE,seminar,1,Yes,Sound system issues throughout.,1.3,86
2025-07-01 09:00:00,Seminar: AI Ethics,IT,expo,4,Yes,"Great organization and helpful volunteers. Good in parts, but could be improved.",3.3,190
2025-03-26 16:00:00,Alumni Talk Series,MBA,talk,4,Yes,Fun activities and friendly environment.,2.3,159
2025-01-16 12:00:00,Career Fair,ECE,seminar,4,Yes,Well structured; learned a lot.,2.5,185
2025-07-17 14:00:00,Workshop: Python for Data,CSE,competition,5,Yes,Amazing energy and clear communication.,2.4,169
2025-03-07 17:00:00,Career Fair,EEE,expo,2,No,Sound system issues throughout. Session started late; needs better time management.,1.8,114
2025-07-12 14:00:00,Workshop: Python for Data,IT,workshop,4,Yes,Loved the speaker and the Q&A session. Venue was hard to find and signage was poor.,3.1,20
2025-05-02 09:00:00,Cultural Night,Biotech,expo,5,Yes,Well structured; learned a lot.,2.3,187
2025-02-13 17:00:00,Workshop: Python for Data,Mechanical,fair,2,No,Not enough seats; poor coordination. Fun activities and friendly environment.,2.4,106
2025-07-30 15:00:00,Hackathon Sprint,Biotech,talk,5,Yes,Well structured; learned a lot.,2.4,143
2025-01-14 18:00:00,Cultural Night,Mechanical,seminar,4,Yes,Amazing energy and clear communication. Loved the speaker and the Q&A session.,3.2,108
2025-04-07 12:00:00,Tech Fest 2025,IT,tech_fest,4,Yes,Loved the speaker and the Q&A session. Well structured; learned a lot.,2.5,108
2025-07-24 17:00:00,Alumni Talk Series,MBA,tech_fest,4,Yes,Fun activities and friendly environment.,1.8,119
2025-04-03 09:00:00,Tech Fest 2025,IT,expo,4,Yes,Well structured; learned a lot.,3.2,172
2025-01-11 09:00:00,Workshop: Python for Data,IT,expo,3,Yes,Mixed feedback from my friends. Loved the speaker and the Q&A session.,3.6,20
2025-06-03 15:00:00,Workshop: Python for Data,MBA,workshop,4,Yes,"Loved the speaker and the Q&A session. Good in parts, but could be improved.",2.1,121
2025-06-18 16:00:00,Workshop: Python for Data,MBA,workshop,3,Yes,It was okay; nothing special. Venue was hard to find and signage was poor.,2.7,126
2025-02-02 19:00:00,Hackathon Sprint,MBA,talk,2,No,Not enough seats; poor coordination. Not enough seats; poor coordination.,2.6,89
2025-02-14 09:00:00,Career Fair,EEE,seminar,4,Yes,Food and seating arrangements were good. Decent networking opportunities.,2.8,125
2025-03-12 16:00:00,Career Fair,Mechanical,workshop,4,Yes,Food and seating arrangements were good. It was okay; nothing special.,3.0,136
2025-06-10 16:00:00,Tech Fest 2025,EEE,seminar,3,No,It was okay; nothing special. Sound system issues throughout.,1.5,188
2025-06-08 13:00:00,Cultural Night,MBA,cultural,4,Yes,Loved the speaker and the Q&A session.,2.1,102
2025-06-22 10:00:00,Cultural Night,Biotech,cultural,3,No,Average experience overall.,3.9,113
2025-03-18 10:00:00,Tech Fest 2025,EEE,fair,4,Yes,Fun activities and friendly environment. Decent networking opportunities.,1.0,103
2025-01-29 13:00:00,Career Fair,MBA,talk,3,Yes,It was okay; nothing special. Sound system issues throughout.,3.2,196
2025-01-29 10:00:00,Cultural Night,IT,workshop,3,No,Average experience overall.,1.8,52
2025-05-13 18:00:00,Workshop: Python for Data,Biotech,cultural,5,Yes,Loved the speaker and the Q&A session.,2.5,169
2025-03-24 10:00:00,Robotics Expo,MBA,seminar,3,No,Mixed feedback from my friends.,3.2,118
2025-05-17 11:00:00,Career Fair,Biotech,seminar,2,No,Too crowded and noisy. Loved the speaker and the Q&A session.,2.9,112
2025-04-03 11:00:00,Career Fair,Mechanical,fair,4,Yes,Food and seating arrangements were good.,2.7,149
2025-06-05 14:00:00,Seminar: AI Ethics,Mechanical,workshop,4,Yes,Amazing energy and clear communication. Average experience overall.,2.3,89
2025-05-09 12:00:00,Seminar: AI Ethics,Biotech,cultural,3,No,It was okay; nothing special. Sound system issues throughout.,2.3,136
2025-08-01 19:00:00,Cultural Night,MBA,competition,3,No,Average experience overall.,3.7,174
2025-02-26 09:00:00,Alumni Talk Series,IT,expo,2,No,Session started late; needs better time management.,1.0,213
2025-01-22 18:00:00,Seminar: AI Ethics,CSE,fair,3,No,It was okay; nothing special.,1.5,163
2025-05-27 12:00:00,Seminar: AI Ethics,Mechanical,fair,2,No,Sound system issues throughout. Amazing energy and clear communication.,2.8,128
2025-04-30 13:00:00,Career Fair,ECE,workshop,5,Yes,Great organization and helpful volunteers. Too crowded and noisy.,3.2,169
2025-03-04 12:00:00,Career Fair,CSE,seminar,3,No,"Good in parts, but could be improved.",2.5,77
2025-02-27 13:00:00,Cultural Night,EEE,fair,3,No,"Good in parts, but could be improved.",2.9,142
2025-02-22 17:00:00,Cultural Night,EEE,cultural,5,Yes,Loved the speaker and the Q&A session.,3.0,84
2025-03-05 16:00:00,Robotics Expo,ECE,expo,4,Yes,Great organization and helpful volunteers.,2.8,134
2025-08-03 11:00:00,Cultural Night,Biotech,seminar,4,Yes,Great organization and helpful volunteers. Session started late; needs better time management.,1.7,102
2025-02-18 12:00:00,Alumni Talk Series,Mechanical,competition,4,Yes,Well structured; learned a lot.,2.3,126
2025-06-16 17:00:00,Cultural Night,ECE,expo,3,No,It was okay; nothing special. It was okay; nothing special.,2.6,116
2025-03-05 15:00:00,Robotics Expo,Biotech,talk,5,Yes,Food and seating arrangements were good.,3.8,213
2025-05-07 15:00:00,Alumni Talk Series,ECE,talk,2,Yes,Not enough seats; poor coordination.,2.3,105
2025-06-08 16:00:00,Tech Fest 2025,Biotech,talk,5,Yes,Food and seating arrangements were good.,3.1,96
2025-08-07 19:00:00,Workshop: Python for Data,ECE,cultural,4,Yes,Great organization and helpful volunteers.,2.0,213
2025-07-26 13:00:00,Workshop: Python for Data,EEE,competition,2,Yes,Sound system issues throughout.,4.1,141
2025-07-09 18:00:00,Seminar: AI Ethics,Biotech,competition,2,No,Content was basic and repetitive.,1.3,20
2025-06-28 19:00:00,Career Fair,MBA,seminar,5,Yes,Loved the speaker and the Q&A session. Mixed feedback from my friends.,1.0,122
2025-03-15 15:00:00,Workshop: Python for Data,EEE,workshop,4,Yes,Food and seating arrangements were good.,3.2,20
2025-01-22 15:00:00,Workshop: Python for Data,Civil,seminar,3,No,Decent networking opportunities. Fun activities and friendly environment.,2.6,64
2025-06-21 19:00:00,Robotics Expo,EEE,tech_fest,3,Yes,Average experience overall.,4.2,20
2025-04-30 13:00:00,Seminar: AI Ethics,EEE,workshop,4,Yes,Amazing energy and clear communication. Sound system issues throughout.,2.7,190
2025-04-13 15:00:00,Cultural Night,EEE,fair,3,No,Average experience overall. Sound system issues throughout.,2.0,203
2025-01-27 14:00:00,Tech Fest 2025,CSE,workshop,4,Yes,Fun activities and friendly environment.,2.8,127
2025-03-30 10:00:00,Cultural Night,IT,cultural,4,Yes,Great organization and helpful volunteers.,3.3,153
2025-07-11 18:00:00,Robotics Expo,IT,expo,2,No,Session started late; needs better time management. Food and seating arrangements were good.,2.5,163
2025-07-11 14:00:00,Cultural Night,Mechanical,expo,4,Yes,Great organization and helpful volunteers.,1.6,101
2025-07-30 16:00:00,Seminar: AI Ethics,CSE,seminar,4,Yes,Food and seating arrangements were good.,3.7,58
2025-06-08 13:00:00,Robotics Expo,Mechanical,workshop,4,Yes,Fun activities and friendly environment. Venue was hard to find and signage was poor.,2.7,61
2025-03-27 18:00:00,Hackathon Sprint,Civil,competition,4,Yes,Loved the speaker and the Q&A session. Food and seating arrangements were good.,2.8,59
2025-03-26 15:00:00,Career Fair,CSE,competition,5,Yes,Food and seating arrangements were good.,3.2,115
2025-05-10 10:00:00,Alumni Talk Series,Civil,workshop,4,Yes,Food and seating arrangements were good.,1.7,121
2025-04-05 17:00:00,Cultural Night,MBA,tech_fest,4,Yes,Great organization and helpful volunteers. Not enough seats; poor coordination.,3.4,157
2025-03-02 16:00:00,Hackathon Sprint,Civil,cultural,5,Yes,Great organization and helpful volunteers.,1.6,173
2025-07-12 18:00:00,Workshop: Python for Data,EEE,seminar,3,Yes,Mixed feedback from my friends.,2.4,118
2025-05-30 13:00:00,Tech Fest 2025,EEE,competition,3,No,"It was okay; nothing special. Good in parts, but could be improved.",2.7,62
2025-07-28 14:00:00,Robotics Expo,MBA,fair,4,Yes,Fun activities and friendly environment. It was okay; nothing special.,1.0,94
2025-07-15 18:00:00,Tech Fest 2025,Biotech,tech_fest,3,No,"Good in parts, but could be improved.",4.3,101
2025-06-02 11:00:00,Tech Fest 2025,Civil,seminar,4,Yes,Amazing energy and clear communication. Food and seating arrangements were good.,1.6,130
2025-03-14 09:00:00,Workshop: Python for Data,Biotech,fair,2,No,Venue was hard to find and signage was poor.,3.7,96
2025-05-23 12:00:00,Cultural Night,IT,competition,4,Yes,Amazing energy and clear communication. Fun activities and friendly environment.,2.3,234
2025-03-28 09:00:00,Workshop: Python for Data,ECE,fair,3,No,It was okay; nothing special. Venue was hard to find and signage was poor.,0.5,160
2025-05-07 16:00:00,Cultural Night,Civil,fair,5,Yes,Well structured; learned a lot.,3.2,164
2025-06-20 17:00:00,Workshop: Python for Data,IT,competition,3,No,It was okay; nothing special.,1.8,113
2025-05-06 18:00:00,Workshop: Python for Data,Mechanical,talk,4,Yes,Amazing energy and clear communication. Decent networking opportunities.,1.2,157
2025-02-21 09:00:00,Seminar: AI Ethics,CSE,fair,4,Yes,Amazing energy and clear communication. Too crowded and noisy.,1.7,75
2025-02-13 09:00:00,Cultural Night,IT,competition,5,Yes,Food and seating arrangements were good.,2.3,30
2025-07-12 15:00:00,Career Fair,IT,fair,3,No,"Good in parts, but could be improved.",1.7,166
2025-06-05 18:00:00,Cultural Night,EEE,seminar,5,Yes,Great organization and helpful volunteers.,2.7,46
2025-07-30 14:00:00,Hackathon Sprint,IT,seminar,3,No,Mixed feedback from my friends.,2.1,122
2025-06-30 10:00:00,Hackathon Sprint,Biotech,cultural,5,Yes,Loved the speaker and the Q&A session.,1.4,122
2025-02-10 09:00:00,Workshop: Python for Data,ECE,tech_fest,4,Yes,Food and seating arrangements were good.,2.4,138
2025-02-27 18:00:00,Alumni Talk Series,Mechanical,competition,3,No,It was okay; nothing special.,2.4,111
2025-06-20 14:00:00,Career Fair,IT,expo,5,Yes,Well structured; learned a lot. Amazing energy and clear communication.,4.9,69
2025-04-02 09:00:00,Career Fair,Biotech,competition,4,Yes,Well structured; learned a lot.,3.7,159
2025-08-03 19:00:00,Alumni Talk Series,Biotech,talk,5,Yes,Great organization and helpful volunteers. Sound system issues throughout.,3.0,127
2025-01-20 13:00:00,Alumni Talk Series,Biotech,seminar,2,No,Venue was hard to find and signage was poor. Food and seating arrangements were good.,3.3,156
2025-02-06 17:00:00,Hackathon Sprint,MBA,seminar,3,No,"Good in parts, but could be improved.",2.4,63
2025-04-20 18:00:00,Workshop: Python for Data,MBA,expo,4,Yes,Great organization and helpful volunteers.,2.7,187
2025-07-01 12:00:00,Hackathon Sprint,ECE,workshop,4,Yes,Food and seating arrangements were good.,2.0,173
2025-03-05 19:00:00,Seminar: AI Ethics,Civil,competition,2,No,Not enough seats; poor coordination. Too crowded and noisy.,1.6,49
2025-04-12 16:00:00,Robotics Expo,Civil,seminar,3,Yes,Mixed feedback from my friends.,3.0,70
2025-06-02 09:00:00,Seminar: AI Ethics,EEE,fair,4,Yes,Loved the speaker and the Q&A session. It was okay; nothing special.,4.1,56
2025-07-05 09:00:00,Career Fair,Biotech,talk,3,No,Decent networking opportunities. Mixed feedback from my friends.,1.0,20
2025-02-23 18:00:00,Cultural Night,EEE,fair,3,No,It was okay; nothing special.,2.8,134
2025-02-25 17:00:00,Seminar: AI Ethics,ECE,cultural,4,Yes,Well structured; learned a lot.,1.5,239
2025-07-05 14:00:00,Cultural Night,IT,talk,3,No,It was okay; nothing special.,4.0,281
2025-06-08 09:00:00,Cultural Night,Civil,seminar,5,Yes,Great organization and helpful volunteers. Decent networking opportunities.,2.9,59
2025-01-21 19:00:00,Cultural Night,MBA,competition,4,Yes,Loved the speaker and the Q&A session.,2.7,125
2025-06-19 17:00:00,Tech Fest 2025,Biotech,expo,5,Yes,Fun activities and friendly environment.,1.5,126
2025-02-15 14:00:00,Cultural Night,Biotech,competition,5,Yes,Well structured; learned a lot. Food and seating arrangements were good.,3.4,124
2025-06-15 10:00:00,Alumni Talk Series,Mechanical,cultural,4,Yes,Well structured; learned a lot. Well structured; learned a lot.,0.5,170
2025-03-12 19:00:00,Career Fair,Biotech,competition,3,No,Average experience overall.,2.0,197
2025-07-09 09:00:00,Seminar: AI Ethics,CSE,expo,4,Yes,Well structured; learned a lot.,2.9,33
2025-05-25 19:00:00,Career Fair,CSE,seminar,5,Yes,Fun activities and friendly environment.,1.3,184
2025-07-07 09:00:00,Career Fair,IT,cultural,5,Yes,Loved the speaker and the Q&A session.,2.0,128
2025-03-29 12:00:00,Seminar: AI Ethics,Mechanical,seminar,4,Yes,Amazing energy and clear communication.,2.5,29
2025-04-25 17:00:00,Career Fair,ECE,workshop,4,Yes,Loved the speaker and the Q&A session. Fun activities and friendly environment.,1.5,109
2025-03-18 16:00:00,Tech Fest 2025,EEE,tech_fest,5,Yes,Fun activities and friendly environment.,1.8,35
2025-02-28 19:00:00,Robotics Expo,ECE,seminar,4,Yes,Fun activities and friendly environment. It was okay; nothing special.,1.0,28
2025-06-19 10:00:00,Robotics Expo,EEE,cultural,4,Yes,Great organization and helpful volunteers.,3.4,163
2025-03-26 13:00:00,Tech Fest 2025,EEE,fair,3,No,Mixed feedback from my friends. Fun activities and friendly environment.,2.0,186
2025-04-15 10:00:00,Cultural Night,Civil,workshop,4,Yes,Amazing energy and clear communication.,4.2,89
2025-03-12 09:00:00,Hackathon Sprint,CSE,workshop,3,No,Mixed feedback from my friends.,2.7,258
2025-05-03 19:00:00,Workshop: Python for Data,EEE,cultural,4,Yes,Food and seating arrangements were good.,2.0,102
2025-06-13 09:00:00,Cultural Night,IT,workshop,4,Yes,Amazing energy and clear communication.,2.6,153
2025-05-14 10:00:00,Robotics Expo,MBA,expo,5,Yes,Amazing energy and clear communication. Content was basic and repetitive.,1.1,141
2025-01-18 13:00:00,Workshop: Python for Data,Civil,fair,2,No,Session started late; needs better time management. Well structured; learned a lot.,1.4,104
2025-04-14 10:00:00,Cultural Night,EEE,competition,5,Yes,"Well structured; learned a lot. Good in parts, but could be improved.",4.2,20
2025-08-05 15:00:00,Seminar: AI Ethics,Civil,fair,3,No,"Good in parts, but could be improved.",3.6,123
2025-07-13 14:00:00,Seminar: AI Ethics,Biotech,workshop,3,No,It was okay; nothing special.,3.1,66
2025-02-13 13:00:00,Robotics Expo,CSE,workshop,3,No,Decent networking opportunities.,1.4,66
2025-02-23 16:00:00,Workshop: Python for Data,ECE,tech_fest,5,Yes,Amazing energy and clear communication. Fun activities and friendly environment.,3.8,94
2025-01-30 10:00:00,Career Fair,CSE,competition,3,No,Decent networking opportunities.,3.1,210
2025-01-28 17:00:00,Alumni Talk Series,IT,tech_fest,4,Yes,Food and seating arrangements were good. Great organization and helpful volunteers.,4.0,93
2025-06-08 11:00:00,Alumni Talk Series,Biotech,seminar,5,Yes,Loved the speaker and the Q&A session.,2.7,214
2025-05-11 15:00:00,Robotics Expo,MBA,competition,2,No,Too crowded and noisy.,2.2,162
2025-01-28 14:00:00,Career Fair,Civil,talk,3,No,Decent networking opportunities.,3.5,20
2025-04-23 16:00:00,Alumni Talk Series,IT,workshop,4,Yes,Loved the speaker and the Q&A session.,3.0,88
2025-01-15 14:00:00,Robotics Expo,CSE,expo,3,Yes,Decent networking opportunities. Loved the speaker and the Q&A session.,3.3,174
2025-03-21 09:00:00,Workshop: Python for Data,MBA,talk,5,Yes,Great organization and helpful volunteers. Decent networking opportunities.,3.1,143
2025-06-29 15:00:00,Alumni Talk Series,EEE,competition,5,Yes,Amazing energy and clear communication. Average experience overall.,1.4,115
2025-07-03 13:00:00,Tech Fest 2025,Civil,seminar,3,No,Mixed feedback from my friends.,1.5,127
2025-04-22 11:00:00,Hackathon Sprint,Biotech,fair,4,Yes,Loved the speaker and the Q&A session. Too crowded and noisy.,1.5,165
2025-05-30 15:00:00,Hackathon Sprint,Mechanical,cultural,3,No,"Good in parts, but could be improved. Too crowded and noisy.",4.5,67
2025-04-08 16:00:00,Cultural Night,Biotech,tech_fest,3,No,Mixed feedback from my friends. Fun activities and friendly environment.,3.3,136
2025-01-26 14:00:00,Alumni Talk Series,Mechanical,expo,4,Yes,Great organization and helpful volunteers.,4.3,181
2025-04-24 18:00:00,Hackathon Sprint,ECE,cultural,3,Yes,Mixed feedback from my friends.,1.5,76
2025-07-01 16:00:00,Seminar: AI Ethics,Civil,tech_fest,5,Yes,Fun activities and friendly environment.,2.1,226
2025-02-18 15:00:00,Cultural Night,ECE,competition,4,Yes,Food and seating arrangements were good. Decent networking opportunities.,2.8,156
2025-07-19 11:00:00,Hackathon Sprint,EEE,cultural,4,Yes,Loved the speaker and the Q&A session.,0.7,153
2025-02-16 15:00:00,Cultural Night,Civil,tech_fest,5,Yes,Loved the speaker and the Q&A session. Decent networking opportunities.,3.2,200
2025-02-25 18:00:00,Workshop: Python for Data,Biotech,competition,3,No,It was okay; nothing special.,1.8,156
2025-06-22 13:00:00,Workshop: Python for Data,IT,workshop,4,Yes,Loved the speaker and the Q&A session. Not enough seats; poor coordination.,0.8,205
2025-06-19 12:00:00,Alumni Talk Series,CSE,competition,2,No,Content was basic and repetitive. It was okay; nothing special.,3.3,116
2025-06-08 15:00:00,Workshop: Python for Data,MBA,tech_fest,4,Yes,Food and seating arrangements were good.,3.6,92
2025-05-18 13:00:00,Tech Fest 2025,ECE,talk,5,Yes,Food and seating arrangements were good. Session started late; needs better time management.,0.7,191
2025-02-12 14:00:00,Tech Fest 2025,Civil,competition,4,Yes,Amazing energy and clear communication. It was okay; nothing special.,3.1,152
2025-03-17 13:00:00,Tech Fest 2025,MBA,expo,4,Yes,Loved the speaker and the Q&A session.,4.7,70
2025-07-29 16:00:00,Hackathon Sprint,ECE,cultural,4,Yes,Fun activities and friendly environment. Not enough seats; poor coordination.,3.6,86
2025-03-04 16:00:00,Workshop: Python for Data,Biotech,seminar,2,No,Session started late; needs better time management.,5.4,90
2025-06-08 12:00:00,Workshop: Python for Data,Mechanical,expo,3,No,Decent networking opportunities.,1.5,167
2025-04-06 11:00:00,Hackathon Sprint,Biotech,workshop,4,Yes,Food and seating arrangements were good. Mixed feedback from my friends.,2.2,33
2025-05-16 10:00:00,Robotics Expo,CSE,talk,3,No,Mixed feedback from my friends.,3.3,125
2025-02-12 17:00:00,Cultural Night,CSE,expo,3,No,Average experience overall.,0.5,129
2025-05-06 19:00:00,Robotics Expo,MBA,fair,4,Yes,Loved the speaker and the Q&A session.,3.2,149
2025-01-28 10:00:00,Tech Fest 2025,CSE,tech_fest,4,Yes,Well structured; learned a lot.,3.0,52
2025-04-23 09:00:00,Workshop: Python for Data,MBA,tech_fest,4,Yes,Loved the speaker and the Q&A session. Content was basic and repetitive.,1.4,207
2025-03-23 17:00:00,Seminar: AI Ethics,ECE,seminar,3,No,It was okay; nothing special.,3.5,37
2025-01-22 10:00:00,Hackathon Sprint,Mechanical,workshop,4,Yes,Well structured; learned a lot.,0.5,101
2025-07-24 09:00:00,Alumni Talk Series,CSE,expo,3,Yes,It was okay; nothing special.,1.6,87
2025-04-01 10:00:00,Cultural Night,Biotech,cultural,3,No,Average experience overall. Well structured; learned a lot.,1.0,129
2025-02-16 14:00:00,Seminar: AI Ethics,Biotech,talk,5,Yes,Amazing energy and clear communication. Loved the speaker and the Q&A session.,0.8,111
2025-07-11 09:00:00,Tech Fest 2025,CSE,talk,4,Yes,"Well structured; learned a lot. Good in parts, but could be improved.",2.4,140
2025-07-30 12:00:00,Hackathon Sprint,Biotech,competition,3,No,Decent networking opportunities.,3.4,132
2025-02-22 11:00:00,Career Fair,IT,tech_fest,5,Yes,Well structured; learned a lot. Mixed feedback from my friends.,2.2,114
2025-04-04 11:00:00,Cultural Night,IT,fair,5,Yes,Well structured; learned a lot.,3.3,39
2025-05-01 17:00:00,Robotics Expo,ECE,seminar,4,Yes,Food and seating arrangements were good. Too crowded and noisy.,1.8,122
2025-03-13 13:00:00,Career Fair,CSE,workshop,4,Yes,Great organization and helpful volunteers.,4.3,105
2025-03-08 09:00:00,Alumni Talk Series,ECE,workshop,4,Yes,Well structured; learned a lot.,2.6,140
2025-07-31 09:00:00,Seminar: AI Ethics,CSE,seminar,3,No,Average experience overall.,3.0,200
2025-05-12 11:00:00,Cultural Night,Mechanical,fair,3,No,It was okay; nothing special.,3.3,20
2025-06-09 12:00:00,Cultural Night,ECE,talk,3,No,"Good in parts, but could be improved. Sound system issues throughout.",1.7,125
2025-06-28 14:00:00,Career Fair,Mechanical,competition,3,No,It was okay; nothing special.,3.7,97
2025-03-30 13:00:00,Hackathon Sprint,Civil,talk,4,Yes,Loved the speaker and the Q&A session.,2.5,118
2025-07-02 15:00:00,Seminar: AI Ethics,Biotech,tech_fest,5,Yes,Food and seating arrangements were good.,1.5,147
2025-03-24 18:00:00,Alumni Talk Series,Biotech,tech_fest,5,Yes,Food and seating arrangements were good.,2.9,75
2025-02-20 13:00:00,Workshop: Python for Data,CSE,talk,3,No,"Good in parts, but could be improved.",2.8,93
2025-06-27 11:00:00,Workshop: Python for Data,EEE,expo,4,Yes,Food and seating arrangements were good.,2.1,200
2025-06-23 15:00:00,Hackathon Sprint,Biotech,talk,4,Yes,Food and seating arrangements were good.,3.9,129
2025-07-26 12:00:00,Alumni Talk Series,ECE,fair,3,No,Average experience overall.,2.5,119
2025-06-24 11:00:00,Hackathon Sprint,EEE,competition,5,Yes,Fun activities and friendly environment.,2.7,135
2025-04-06 13:00:00,Alumni Talk Series,CSE,workshop,4,Yes,Fun activities and friendly environment. Venue was hard to find and signage was poor.,0.8,148
2025-06-06 11:00:00,Robotics Expo,Biotech,talk,3,No,"Good in parts, but could be improved. Amazing energy and clear communication.",3.5,154
2025-04-28 14:00:00,Tech Fest 2025,CSE,workshop,4,Yes,Food and seating arrangements were good. Too crowded and noisy.,2.6,114
2025-03-08 16:00:00,Alumni Talk Series,Civil,expo,2,No,Session started late; needs better time management.,2.2,53
2025-03-20 17:00:00,Alumni Talk Series,IT,tech_fest,5,Yes,Amazing energy and clear communication. Loved the speaker and the Q&A session.,3.0,20
2025-01-21 19:00:00,Career Fair,ECE,seminar,5,Yes,Amazing energy and clear communication.,2.3,113
2025-02-13 09:00:00,Hackathon Sprint,Biotech,competition,4,Yes,Great organization and helpful volunteers.,1.4,168
2025-02-20 12:00:00,Alumni Talk Series,IT,fair,3,No,Average experience overall.,2.6,20
2025-02-13 11:00:00,Tech Fest 2025,CSE,expo,2,No,Too crowded and noisy. Fun activities and friendly environment.,3.2,122
2025-03-25 13:00:00,Cultural Night,Mechanical,expo,2,No,Content was basic and repetitive.,3.1,161
2025-07-24 13:00:00,Robotics Expo,Mechanical,competition,5,Yes,Great organization and helpful volunteers. Mixed feedback from my friends.,3.4,159
2025-04-24 16:00:00,Tech Fest 2025,Biotech,expo,3,No,Mixed feedback from my friends.,3.9,137
2025-03-09 09:00:00,Seminar: AI Ethics,Civil,seminar,3,No,Average experience overall.,2.9,105
2025-01-12 16:00:00,Alumni Talk Series,EEE,workshop,4,Yes,Amazing energy and clear communication. Mixed feedback from my friends.,2.6,110
2025-07-13 19:00:00,Hackathon Sprint,EEE,cultural,5,Yes,Great organization and helpful volunteers. It was okay; nothing special.,3.2,114
2025-03-23 13:00:00,Hackathon Sprint,Civil,cultural,4,Yes,Amazing energy and clear communication.,1.1,162
2025-01-10 13:00:00,Alumni Talk Series,Civil,expo,4,Yes,Well structured; learned a lot. Amazing energy and clear communication.,2.0,64
2025-05-03 16:00:00,Career Fair,IT,workshop,5,Yes,Well structured; learned a lot.,2.1,135
2025-01-30 18:00:00,Cultural Night,EEE,cultural,5,Yes,Fun activities and friendly environment.,2.8,58
2025-02-10 09:00:00,Workshop: Python for Data,Mechanical,tech_fest,5,Yes,Great organization and helpful volunteers. Fun activities and friendly environment.,4.0,95
2025-02-28 09:00:00,Seminar: AI Ethics,MBA,tech_fest,4,Yes,Great organization and helpful volunteers.,2.1,65
2025-06-09 11:00:00,Tech Fest 2025,Mechanical,workshop,4,Yes,Amazing energy and clear communication.,2.4,156
2025-03-15 11:00:00,Tech Fest 2025,ECE,talk,3,No,"Good in parts, but could be improved.",3.0,112
2025-04-04 13:00:00,Workshop: Python for Data,Biotech,seminar,3,No,Average experience overall. Amazing energy and clear communication.,1.9,91
2025-06-04 19:00:00,Workshop: Python for Data,EEE,fair,4,Yes,Amazing energy and clear communication. Loved the speaker and the Q&A session.,2.4,166
